Index,q1,q2,q3,q4,q5,q6
0,-6.598888102615775e-17,2.313839289046194,1.29498759924187,3.141592653589793,1.2188516898043238,-5.525393874259063e-17
1,-1.8535520340812188e-16,2.3378823066890377,1.2862781280266626,3.141592653589793,1.251604178662375,-1.5502972122513035e-16
2,-3.5029271150399677e-16,2.369196450137477,1.2747939080870272,3.141592653589793,1.29440254205045,-2.927021677235859e-16
3,-5.935703317749842e-16,2.405552789220468,1.2614217608313534,3.141592653589793,1.3441310283891141,-4.986616148369724e-16
4,-7.845926599386878e-16,2.4453277992537443,1.2470982912080537,3.141592653589793,1.3982295080456901,-6.511076412786229e-16
5,-8.374963049451179e-16,2.4873778372925446,1.232775758304065,3.141592653589793,1.454602078988479,-6.707188533483907e-16
6,-7.18679673064604e-16,2.530914717438649,1.2193529765078404,3.141592653589793,1.511561740930808,-5.278764593882834e-16
7,-4.4377262281569684e-16,2.5753954886024037,1.2076129486119689,3.141592653589793,1.5677825399904342,-2.3945496172619014e-16
8,-5.860654843370386e-17,2.620432862595485,1.198183469321099,3.141592653589793,1.622249393274385,1.494012945232092e-16
9,3.85956457765735e-16,2.6657284304735844,1.1915226057720498,3.141592653589793,1.674205824701534,5.896462777450463e-16
10,8.384298030156281e-16,2.71102756744914,1.1879240567479454,3.141592653589793,1.723103510701194,1.0317715700161672e-15
11,1.2612046823567983e-15,2.7560927866444462,1.1875352612189136,3.141592653589793,1.768557525425532,1.4405523355025053e-15
12,1.6244438520024444e-15,2.8006912900496816,1.190381670458053,3.141592653589793,1.8103096195916277,1.787382340146168e-15
13,1.9177389710967057e-15,2.844592375094455,1.19639227464236,3.141592653589793,1.848200100452094,2.064779518626051e-15
14,2.132208255442581e-15,2.8875708566825202,1.205423323438548,3.141592653589793,1.8821475332439712,2.2634360606790415e-15
15,2.2684068165523823e-15,2.9294134448353693,1.2172787247653776,3.141592653589793,1.912134720069991,2.3840978980355e-15
16,2.336326661647737e-15,2.969925853348726,1.2317266956577513,3.141592653589793,1.938199157690974,2.4389122509763672e-15
17,2.3433230182667857e-15,3.00893917565106,1.2485128973590545,3.141592653589793,1.9604262782920052,2.4336988745168873e-15
18,2.300775672411937e-15,3.046314691611603,1.2673706070123865,3.141592653589793,1.978944084599216,2.380232851571482e-15
19,2.2197868543294425e-15,3.0819467481439764,1.2880285663713167,3.141592653589793,1.9939181817726592,2.289291522809469e-15
20,2.111181238509397e-15,3.1157636953634844,1.310217096083771,3.141592653589793,2.0055465992797132,2.1718020458437873e-15
21,1.9850896100515057e-15,3.147727078378694,1.333672943260229,3.141592653589793,2.014054135118464,2.0384525846945146e-15
22,1.849144752250066e-15,3.177829406499288,1.358143189992281,3.141592653589793,2.0196862165070066,1.8962871848221146e-15
23,1.709314113862438e-15,3.2060908709566855,1.3833884228279747,3.141592653589793,2.0227024481287104,1.750424142379486e-15
24,1.5707324763775134e-15,3.232555381143946,1.409185264935577,3.141592653589793,2.0233701162083686,1.6062316851968955e-15
25,1.43728562038148e-15,3.2572862562129714,1.4353283097039056,3.141592653589793,2.021957946509066,1.467756464211861e-15
26,1.3110552140455104e-15,3.280361857802651,1.4616314648991564,3.141592653589793,2.0187303929034948,1.3360155815329811e-15
27,1.1948862038702061e-15,3.3018713909688615,1.4879287134163548,3.141592653589793,2.0139426775525067,1.2157420833905896e-15
28,1.0889173677336454e-15,3.32191104101939,1.5140743110616537,3.141592653589793,2.0078367299577367,1.1059262644311345e-15
29,9.936344282091019e-16,3.340580558394865,1.5399424644905018,3.141592653589793,2.0006380939043633,1.0073424138280224e-15
30,9.098353580955248e-16,3.357980354664047,1.565426555627958,3.141592653589793,1.9925537990360889,9.219225202496965e-16
31,8.363058509597304e-16,3.3742091315599114,1.5904379971141958,3.141592653589793,1.9837711344457156,8.472928649284465e-16
32,7.726642676370038e-16,3.3893620323385703,1.6149048135764765,3.141592653589793,1.9744572187620935,7.834321681564572e-16
33,7.176789544594015e-16,3.403529280521083,1.638770045117876,3.141592653589793,1.9647592354032066,7.2835205984277205e-16
34,6.712111335488453e-16,3.4167952547187963,1.6619900633122335,3.141592653589793,1.9548051914065623,6.830134416237322e-16
35,6.321852763502296e-16,3.429237938830334,1.6845328781848665,3.141592653589793,1.9447050606454668,6.459967161416073e-16
36,5.995432015432085e-16,3.4409286832850547,1.7063764994798774,3.141592653589793,1.9345521838051767,6.15876203919933e-16
37,5.721399916336375e-16,3.4519322139371043,1.727507399176445,3.141592653589793,1.9244248147606589,5.910354538365716e-16
38,5.496200283089412e-16,3.4623068294344193,1.7479191064940376,3.141592653589793,1.9143877229403812,5.716347456842504e-16
39,5.309251302487737e-16,3.472104734244963,1.7676109527370187,3.141592653589793,1.9044937815079437,5.561932447208041e-16
40,5.159685612793362e-16,3.481372462028529,1.786586971939895,3.141592653589793,1.8947854900886338,5.450009982612149e-16
41,5.034969836892355e-16,3.490151351905326,1.8048549545941814,3.141592653589793,1.8852963973111445,5.360829563057312e-16
42,4.936708593999994e-16,3.4984780478063193,1.8224256456432202,3.141592653589793,1.876052402163099,5.300883338599355e-16
43,4.853593655457256e-16,3.5063849981002564,1.8393120740943565,3.141592653589793,1.8670729240059,5.251362347227961e-16
44,4.783685993441285e-16,3.513900938847518,1.8555289995939148,3.141592653589793,1.8583719392536033,5.211851380008945e-16
45,4.730952093837485e-16,3.5210513492305595,1.8710924606976174,3.141592653589793,1.8499588885329423,5.1907464417255455e-16
46,4.688951795741292e-16,3.527858871949508,1.8860194099400152,3.141592653589793,1.841839462009493,5.179661243976105e-16
47,4.65133167442194e-16,3.534343694708685,1.9003274218155783,3.141592653589793,1.8340162728931069,5.1672612610588125e-16
48,4.619826453355406e-16,3.540523891453098,1.9140344611574087,3.141592653589793,1.8264894302956893,5.158910795890456e-16
49,4.592614672891914e-16,3.5464157238592056,1.9271587009329159,3.141592653589793,1.8192570229262897,5.15243148872308e-16
50,4.574770399198698e-16,3.552033904861317,1.939718380026447,3.141592653589793,1.8123155248348701,5.159171063227563e-16
51,4.560135363936039e-16,3.5573918268177445,1.9517316930540625,3.141592653589793,1.805660133763682,5.167914234083368e-16
52,4.555128043965051e-16,3.56250175739187,1.9632167056012582,3.141592653589793,1.7992850517906116,5.191025826756254e-16
53,4.546477804694511e-16,3.5673750064309044,1.9741912894643026,3.141592653589793,1.7931837169666018,5.205751154194879e-16
54,4.542251110287712e-16,3.5720220671427416,1.984673073503069,3.141592653589793,1.7873489936396723,5.226132007606935e-16
55,4.536983581795328e-16,3.5764527347581394,1.9946794065832403,3.141592653589793,1.7817733281748989,5.242582354562826e-16
56,4.528680287219985e-16,3.580676205667791,2.0042273298111235,3.141592653589793,1.7764488758566674,5.251809006088664e-16
57,4.515693239259503e-16,3.584701159776871,2.0133335558612218,3.141592653589793,1.7713676039156492,5.251491450346094e-16
58,4.507736889379354e-16,3.5885358285493245,2.02201445368241,3.141592653589793,1.7665213748669144,5.258421356509464e-16
59,4.502035680017975e-16,3.5921880509389594,2.030286037259905,3.141592653589793,1.7619020136790537,5.268612453830564e-16
60,4.49303849605224e-16,3.595665319136868,2.03816395742275,3.141592653589793,1.7575013617141173,5.272993064299984e-16
61,4.482133116262931e-16,3.5989748158128902,2.0456634959340034,3.141592653589793,1.753311319878886,5.273347172905417e-16
62,4.472962459949599e-16,3.6021234442974475,2.0527995612952514,3.141592653589793,1.7493238830021953,5.275624061802502e-16
63,4.465353054764645e-16,3.605117852941306,2.059586685848434,3.141592653589793,1.7455311670928715,5.27976272505253e-16
64,4.454968092018129e-16,3.607964454705267,2.06603902387484,3.141592653589793,1.7419254308304266,5.278494235015062e-16
65,4.447532159180774e-16,3.610669442868726,2.072170350480333,3.141592653589793,1.7384990923883918,5.281205401734984e-16
66,4.443045256252579e-16,3.613238803604219,2.077994061123152,3.141592653589793,1.735244742481066,5.28831735634799e-16
67,4.440986966190751e-16,3.6156783260426852,2.08352317169055,3.141592653589793,1.7321551543521345,5.298385439727862e-16
68,4.436500063262556e-16,3.617993610349255,2.088770319066826,3.141592653589793,1.729223291282428,5.304447173912039e-16
69,4.43357441146274e-16,3.6201900742399937,2.093747762160936,3.141592653589793,1.7264423120790569,5.312876018590288e-16
70,4.432903900181694e-16,3.6222729582942073,2.098467383379217,3.141592653589793,1.7238055749149896,5.324276004834836e-16
71,4.4327538059434415e-16,3.6242473303528695,2.1029406905397803,3.141592653589793,1.7213066398130887,5.33610456176963e-16
72,4.441797746127865e-16,3.626118089239847,2.1071788192312875,3.141592653589793,1.7189392700085588,5.361004366511731e-16
73,4.451362103355082e-16,3.6278899679973633,2.111192535621397,3.141592653589793,1.7166974323759656,5.386237044722081e-16
74,4.457630485977943e-16,3.6295675367893065,2.114992239720086,3.141592653589793,1.7145752970692199,5.406190466481345e-16
75,4.45973553225846e-16,3.631155205594399,2.118587969101119,3.141592653589793,1.7125672364932796,5.419844656841548e-16
76,4.452993488811495e-16,3.632657226784956,2.1219894030817374,3.141592653589793,1.7106678237032182,5.419734579537666e-16
77,4.439139079113025e-16,3.6340776976651266,2.125205867356678,3.141592653589793,1.7088718303084478,5.40843295845857e-16
78,4.430315367494888e-16,3.6354205630244407,2.1282463390782804,3.141592653589793,1.7071742239461596,5.404034468795675e-16
79,4.418889570662786e-16,3.636689617747585,2.1311194523699886,3.141592653589793,1.705570165377596,5.3953437439173e-16
80,4.412841416606212e-16,3.6378885095090685,2.133833504256214,3.141592653589793,1.704055005252854,5.394522488834841e-16
81,4.4111300712395803e-16,3.6390207415714566,2.1363964609875046,3.141592653589793,1.702624280583952,5.399923998263438e-16
82,4.4087248364825573e-16,3.6400896756977246,2.1388159647363088,3.141592653589793,1.701273710961416,5.404233218341706e-16
83,4.400595014254811e-16,3.6410985351817517,2.1410993406354937,3.141592653589793,1.6999991945462585,5.399752666615346e-16
84,4.3898631068130996e-16,3.6420504079957965,2.143253604129146,3.141592653589793,1.6987968038666508,5.392045445530912e-16
85,4.3798250887617787e-16,3.6429482500497214,2.145285468603131,3.141592653589793,1.697662781446591,5.385138823234517e-16
86,4.3694401260152627e-16,3.6437948885536295,2.147201353261373,3.141592653589793,1.6965935352922572,5.376985487039088e-16
87,4.3585347462259537e-16,3.6445930254732484,2.14900739121286,3.141592653589793,1.6955856342603888,5.367161661298572e-16
