__time,/jaco/manipulator_skillset/manipulator_skillset/end_effector/header/stamp,/jaco/manipulator_skillset/manipulator_skillset/end_effector/pose/orientation/pitch_deg,/jaco/manipulator_skillset/manipulator_skillset/end_effector/pose/orientation/roll_deg,/jaco/manipulator_skillset/manipulator_skillset/end_effector/pose/orientation/w,/jaco/manipulator_skillset/manipulator_skillset/end_effector/pose/orientation/x,/jaco/manipulator_skillset/manipulator_skillset/end_effector/pose/orientation/y,/jaco/manipulator_skillset/manipulator_skillset/end_effector/pose/orientation/yaw_deg,/jaco/manipulator_skillset/manipulator_skillset/end_effector/pose/orientation/z,/jaco/manipulator_skillset/manipulator_skillset/end_effector/pose/position/x,/jaco/manipulator_skillset/manipulator_skillset/end_effector/pose/position/y,/jaco/manipulator_skillset/manipulator_skillset/end_effector/pose/position/z,/jaco/manipulator_skillset/manipulator_skillset/end_effector_wrench/header/stamp,/jaco/manipulator_skillset/manipulator_skillset/end_effector_wrench/wrench/force/x,/jaco/manipulator_skillset/manipulator_skillset/end_effector_wrench/wrench/force/y,/jaco/manipulator_skillset/manipulator_skillset/end_effector_wrench/wrench/force/z,/jaco/manipulator_skillset/manipulator_skillset/end_effector_wrench/wrench/torque/x,/jaco/manipulator_skillset/manipulator_skillset/end_effector_wrench/wrench/torque/y,/jaco/manipulator_skillset/manipulator_skillset/end_effector_wrench/wrench/torque/z,/jaco/manipulator_skillset/manipulator_skillset/joint/header/stamp,/jaco/manipulator_skillset/manipulator_skillset/joint/q1/effort,/jaco/manipulator_skillset/manipulator_skillset/joint/q1/position,/jaco/manipulator_skillset/manipulator_skillset/joint/q1/velocity,/jaco/manipulator_skillset/manipulator_skillset/joint/q2/effort,/jaco/manipulator_skillset/manipulator_skillset/joint/q2/position,/jaco/manipulator_skillset/manipulator_skillset/joint/q2/velocity,/jaco/manipulator_skillset/manipulator_skillset/joint/q3/effort,/jaco/manipulator_skillset/manipulator_skillset/joint/q3/position,/jaco/manipulator_skillset/manipulator_skillset/joint/q3/velocity,/jaco/manipulator_skillset/manipulator_skillset/joint/q4/effort,/jaco/manipulator_skillset/manipulator_skillset/joint/q4/position,/jaco/manipulator_skillset/manipulator_skillset/joint/q4/velocity,/jaco/manipulator_skillset/manipulator_skillset/joint/q5/effort,/jaco/manipulator_skillset/manipulator_skillset/joint/q5/position,/jaco/manipulator_skillset/manipulator_skillset/joint/q5/velocity,/jaco/manipulator_skillset/manipulator_skillset/joint/q6/effort,/jaco/manipulator_skillset/manipulator_skillset/joint/q6/position,/jaco/manipulator_skillset/manipulator_skillset/joint/q6/velocity,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinTx/effort,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinTx/position,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinTx/velocity,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinTy/effort,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinTy/position,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinTy/velocity,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinTz/effort,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinTz/position,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinTz/velocity,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinX/effort,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinX/position,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinX/velocity,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinY/effort,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinY/position,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinY/velocity,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinZ/effort,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinZ/position,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinZ/velocity,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/header/stamp,/jaco/manipulator_skillset/manipulator_skillset/refs_/header/stamp,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud1/effort,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud1/position,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud1/velocity,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud2/effort,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud2/position,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud2/velocity,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud3/effort,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud3/position,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud3/velocity,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud4/effort,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud4/position,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud4/velocity,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud5/effort,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud5/position,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud5/velocity,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud6/effort,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud6/position,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud6/velocity
1689085913.566535,1689085913.566347837,-11.660781739,92.106354320,0.550324380,0.647455156,0.314324379,63.033519425,0.423255354,0.211256325,-0.266125083,0.505487740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689085913.566563,,,,,,,,,,,,1689085913.566431999,1.205510139,-0.461654276,1.175105095,-0.169824988,0.132594675,-0.167308003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689085913.566568,,,,,,,,,,,,,,,,,,,1689085913.566398144,-0.387621969,283.132019043,0.000000000,-1.010525584,162.801361084,-0.009765625,3.946517944,43.509189606,-0.446428597,-0.736208797,265.178955078,-0.000000000,0.542417407,257.307250977,0.000000000,0.150628746,287.917755127,-0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689085913.566961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1689085913.566458464,-0.387621969,283.132019043,-0.000000000,-0.445654929,162.801361084,-0.000000000,0.641924858,43.509189606,-0.000000000,-0.367072165,265.178955078,-0.000000000,0.329767466,257.307250977,-0.000000000,0.150628746,287.917755127,-0.000000000
1689085913.566990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.369136631,92.106344748,0.000000000,0.212649941,-11.660747718,0.000000000,0.000000000,63.033516077,0.000000000,0.000000000,0.211256350,0.000000000,-0.564870656,-0.266125025,0.000000000,3.304592848,0.505487765,0.000000000,1689085913.566898823,,,,,,,,,,,,,,,,,,,
1689085913.578850,1689085913.578650951,-11.660781739,92.106354320,0.550324380,0.647455156,0.314324379,63.033519425,0.423255354,0.211256325,-0.266125083,0.505487740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689085913.578971,,,,,,,,,,,,1689085913.578888178,1.211030722,-0.422265053,1.180968285,-0.163253218,0.123878092,-0.173418432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689085913.578983,,,,,,,,,,,,,,,,,,,1689085913.578758717,-0.366150260,283.132019043,0.000000000,-0.980335414,162.801361084,-0.009765625,3.943197966,43.509189606,-0.446428597,-0.724289417,265.178955078,-0.000000000,0.540915787,257.307250977,0.000000000,0.148458809,287.917755127,-0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689085913.579597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.369136631,92.106344748,0.000000000,0.212649941,-11.660747718,0.000000000,0.000000000,63.033516077,0.000000000,0.000000000,0.211256350,0.000000000,-0.564870656,-0.266125025,0.000000000,3.304592848,0.505487765,0.000000000,1689085913.579496384,,,,,,,,,,,,,,,,,,,
1689085913.579612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1689085913.578924656,-0.366150260,283.132019043,-0.000000000,-0.415464759,162.801361084,-0.000000000,0.638605118,43.509189606,-0.000000000,-0.355152786,265.178955078,-0.000000000,0.328265846,257.307250977,-0.000000000,0.148458809,287.917755127,-0.000000000
1689085913.596325,1689085913.596207857,-11.660781739,92.106354320,0.550324380,0.647455156,0.314324379,63.033519425,0.423255354,0.211256325,-0.266125083,0.505487740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689085913.596372,,,,,,,,,,,,1689085913.596300602,1.251356840,-0.508581698,1.242703438,-0.147451311,0.135434955,-0.166692406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689085913.596380,,,,,,,,,,,,,,,,,,,1689085913.596254349,-0.388192981,283.132019043,0.000000000,-0.991618633,162.801361084,-0.009765625,3.920747519,43.509189606,-0.446428597,-0.712122202,265.178955078,-0.000000000,0.535924077,257.307250977,0.000000000,0.140435964,287.917755127,-0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689085913.596688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1689085913.596322536,-0.377325952,283.132019043,-0.000000000,-0.415813804,162.801361084,-0.000000000,0.662270784,43.509189606,-0.000000000,-0.352525473,265.178955078,-0.000000000,0.326378822,257.307250977,-0.000000000,0.146614268,287.917755127,-0.000000000
1689085913.596753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.369136631,92.106344748,0.000000000,0.212649941,-11.660747718,0.000000000,0.000000000,63.033516077,0.000000000,0.000000000,0.211256350,0.000000000,-0.564870656,-0.266125025,0.000000000,3.304592848,0.505487765,0.000000000,1689085913.596634150,,,,,,,,,,,,,,,,,,,
1689085913.605784,1689085913.605646133,-11.660781739,92.106354320,0.550324380,0.647455156,0.314324379,63.033519425,0.423255354,0.211256325,-0.266125083,0.505487740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689085913.605827,,,,,,,,,,,,,,,,,,,1689085913.605685711,-0.377325952,283.132019043,0.000000000,-0.980684459,162.801361084,-0.009765625,3.966863632,43.509189606,-0.446428597,-0.721662104,265.178955078,-0.000000000,0.539028764,257.307250977,0.000000000,0.146614268,287.917755127,-0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689085913.605875,,,,,,,,,,,,1689085913.605781317,1.207225800,-0.515432656,1.182566881,-0.162539393,0.141599268,-0.181541592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689085913.606534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1689085913.605833292,-0.377325952,283.132019043,-0.000000000,-0.415813804,162.801361084,-0.000000000,0.662270784,43.509189606,-0.000000000,-0.352525473,265.178955078,-0.000000000,0.326378822,257.307250977,-0.000000000,0.146614268,287.917755127,-0.000000000
1689085913.606562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.369136631,92.106344748,0.000000000,0.212649941,-11.660747718,0.000000000,0.000000000,63.033516077,0.000000000,0.000000000,0.211256350,0.000000000,-0.564870656,-0.266125025,0.000000000,3.304592848,0.505487765,0.000000000,1689085913.606459379,,,,,,,,,,,,,,,,,,,
1689085913.616816,1689085913.616672039,-11.660781739,92.106354320,0.550324380,0.647455156,0.314324379,63.033519425,0.423255354,0.211256325,-0.266125083,0.505487740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689085913.616902,,,,,,,,,,,,1689085913.616817951,1.291742921,-0.482841522,1.183947802,-0.164152056,0.126790613,-0.179262787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689085913.616913,,,,,,,,,,,,,,,,,,,1689085913.616740227,-0.366415471,283.132019043,0.000000000,-0.981418788,162.801361084,-0.009765625,3.966863632,43.509189606,-0.446428597,-0.719789207,265.178955078,-0.000000000,0.537063599,257.307250977,0.000000000,0.162968129,287.917755127,-0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689085913.617697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1689085913.616864920,-0.366415471,283.132019043,-0.000000000,-0.416548193,162.801361084,-0.000000000,0.662270784,43.509189606,-0.000000000,-0.350652575,265.178955078,-0.000000000,0.324413657,257.307250977,-0.000000000,0.162968129,287.917755127,-0.000000000
1689085913.617744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.369136631,92.106344748,0.000000000,0.212649941,-11.660747718,0.000000000,0.000000000,63.033516077,0.000000000,0.000000000,0.211256350,0.000000000,-0.564870656,-0.266125025,0.000000000,3.304592848,0.505487765,0.000000000,1689085913.617620468,,,,,,,,,,,,,,,,,,,
1689085913.627999,1689085913.627889872,-11.660781739,92.106354320,0.550324380,0.647455156,0.314324379,63.033519425,0.423255354,0.211256325,-0.266125083,0.505487740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689085913.628063,,,,,,,,,,,,,,,,,,,1689085913.627941132,-0.408340216,283.132019043,0.000000000,-0.977735817,162.801361084,-0.009765625,3.923594713,43.509189606,-0.446428597,-0.720971763,265.178955078,-0.000000000,0.534129024,257.307250977,0.000000000,0.146445379,287.917755127,-0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689085913.628088,,,,,,,,,,,,1689085913.628003120,1.419649005,-0.480309725,1.140214682,-0.173445851,0.115435690,-0.164162546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689085913.628934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1689085913.628048182,-0.408340186,283.132019043,-0.000000000,-0.412865162,162.801361084,-0.000000000,0.619001865,43.509189606,-0.000000000,-0.351835132,265.178955078,-0.000000000,0.321479082,257.307250977,-0.000000000,0.146445379,287.917755127,-0.000000000
1689085913.628976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.369136631,92.106344748,0.000000000,0.212649941,-11.660747718,0.000000000,0.000000000,63.033516077,0.000000000,0.000000000,0.211256350,0.000000000,-0.564870656,-0.266125025,0.000000000,3.304592848,0.505487765,0.000000000,1689085913.628855944,,,,,,,,,,,,,,,,,,,
1689085913.646090,1689085913.645957232,-11.660781739,92.106354320,0.550324380,0.647455156,0.314324379,63.033519425,0.423255354,0.211256325,-0.266125083,0.505487740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689085913.646107,,,,,,,,,,,,,,,,,,,1689085913.645994902,-0.379991204,283.132019043,0.000000000,-0.987775445,162.801361084,-0.009765625,3.960342407,43.509189606,-0.446428597,-0.717689753,265.178955078,-0.000000000,0.541847885,257.307250977,0.000000000,0.158781677,287.917755127,-0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689085913.646137,,,,,,,,,,,,1689085913.646016836,1.216233969,-0.607458591,1.145228386,-0.161254317,0.179718107,-0.167442232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689085913.646445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.369136631,92.106344748,0.000000000,0.212649941,-11.660747718,0.000000000,0.000000000,63.033516077,0.000000000,0.000000000,0.211256350,0.000000000,-0.564870656,-0.266125025,0.000000000,3.304592848,0.505487765,0.000000000,1689085913.646378994,,,,,,,,,,,,,,,,,,,
1689085913.646457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1689085913.646023035,-0.379991204,283.132019043,-0.000000000,-0.422904849,162.801361084,-0.000000000,0.655749559,43.509189606,-0.000000000,-0.348553121,265.178955078,-0.000000000,0.329197943,257.307250977,-0.000000000,0.158781677,287.917755127,-0.000000000
1689085913.654840,1689085913.654734850,-11.660781739,92.106354320,0.550324380,0.647455156,0.314324379,63.033519425,0.423255354,0.211256325,-0.266125083,0.505487740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
