__time,/jaco/manipulator_skillset/manipulator_skillset/end_effector/header/stamp,/jaco/manipulator_skillset/manipulator_skillset/end_effector/pose/orientation/pitch_deg,/jaco/manipulator_skillset/manipulator_skillset/end_effector/pose/orientation/roll_deg,/jaco/manipulator_skillset/manipulator_skillset/end_effector/pose/orientation/w,/jaco/manipulator_skillset/manipulator_skillset/end_effector/pose/orientation/x,/jaco/manipulator_skillset/manipulator_skillset/end_effector/pose/orientation/y,/jaco/manipulator_skillset/manipulator_skillset/end_effector/pose/orientation/yaw_deg,/jaco/manipulator_skillset/manipulator_skillset/end_effector/pose/orientation/z,/jaco/manipulator_skillset/manipulator_skillset/end_effector/pose/position/x,/jaco/manipulator_skillset/manipulator_skillset/end_effector/pose/position/y,/jaco/manipulator_skillset/manipulator_skillset/end_effector/pose/position/z,/jaco/manipulator_skillset/manipulator_skillset/end_effector_wrench/header/stamp,/jaco/manipulator_skillset/manipulator_skillset/end_effector_wrench/wrench/force/x,/jaco/manipulator_skillset/manipulator_skillset/end_effector_wrench/wrench/force/y,/jaco/manipulator_skillset/manipulator_skillset/end_effector_wrench/wrench/force/z,/jaco/manipulator_skillset/manipulator_skillset/end_effector_wrench/wrench/torque/x,/jaco/manipulator_skillset/manipulator_skillset/end_effector_wrench/wrench/torque/y,/jaco/manipulator_skillset/manipulator_skillset/end_effector_wrench/wrench/torque/z,/jaco/manipulator_skillset/manipulator_skillset/joint/header/stamp,/jaco/manipulator_skillset/manipulator_skillset/joint/q1/effort,/jaco/manipulator_skillset/manipulator_skillset/joint/q1/position,/jaco/manipulator_skillset/manipulator_skillset/joint/q1/velocity,/jaco/manipulator_skillset/manipulator_skillset/joint/q2/effort,/jaco/manipulator_skillset/manipulator_skillset/joint/q2/position,/jaco/manipulator_skillset/manipulator_skillset/joint/q2/velocity,/jaco/manipulator_skillset/manipulator_skillset/joint/q3/effort,/jaco/manipulator_skillset/manipulator_skillset/joint/q3/position,/jaco/manipulator_skillset/manipulator_skillset/joint/q3/velocity,/jaco/manipulator_skillset/manipulator_skillset/joint/q4/effort,/jaco/manipulator_skillset/manipulator_skillset/joint/q4/position,/jaco/manipulator_skillset/manipulator_skillset/joint/q4/velocity,/jaco/manipulator_skillset/manipulator_skillset/joint/q5/effort,/jaco/manipulator_skillset/manipulator_skillset/joint/q5/position,/jaco/manipulator_skillset/manipulator_skillset/joint/q5/velocity,/jaco/manipulator_skillset/manipulator_skillset/joint/q6/effort,/jaco/manipulator_skillset/manipulator_skillset/joint/q6/position,/jaco/manipulator_skillset/manipulator_skillset/joint/q6/velocity,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinTx/effort,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinTx/position,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinTx/velocity,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinTy/effort,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinTy/position,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinTy/velocity,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinTz/effort,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinTz/position,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinTz/velocity,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinX/effort,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinX/position,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinX/velocity,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinY/effort,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinY/position,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinY/velocity,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinZ/effort,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinZ/position,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/PinZ/velocity,/jaco/manipulator_skillset/manipulator_skillset/refsPin_/header/stamp,/jaco/manipulator_skillset/manipulator_skillset/refs_/header/stamp,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud1/effort,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud1/position,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud1/velocity,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud2/effort,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud2/position,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud2/velocity,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud3/effort,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud3/position,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud3/velocity,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud4/effort,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud4/position,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud4/velocity,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud5/effort,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud5/position,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud5/velocity,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud6/effort,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud6/position,/jaco/manipulator_skillset/manipulator_skillset/refs_/taud6/velocity
1689086471.948538,1689086471.948379040,0.000025398,0.301098579,0.705940604,0.001855077,-0.001860874,-90.188440019,-0.708266199,-0.000998127,0.009802926,1.260296106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689086471.948587,,,,,,,,,,,,1689086471.948530912,0.362301528,-0.013796357,0.004379121,0.379044861,0.028176872,-0.034758959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689086471.948597,,,,,,,,,,,,,,,,,,,1689086471.948476076,-0.079054929,180.232223511,-0.009765625,-0.020597165,180.046569824,0.000000000,0.058218967,180.043853760,0.000000000,0.008268644,179.953689575,0.000000000,0.376208693,180.303833008,-0.014204545,0.160496369,180.002548218,-0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689086471.949292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000027426,0.301116944,0.000000000,-0.001579433,0.000015587,0.000000000,0.000000000,-90.188461269,0.000000000,0.000000000,-0.000998411,0.000000000,0.008971816,0.009802997,0.000000000,-0.009213625,1.260296222,0.000000000,1689086471.949195862,,,,,,,,,,,,,,,,,,,
1689086471.966387,1689086471.966193914,0.000025398,0.301098579,0.705940604,0.001855077,-0.001860874,-90.188440019,-0.708266199,-0.000998127,0.009802926,1.260296106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689086471.966400,,,,,,,,,,,,,,,,,,,1689086471.966270685,-0.058668666,180.232223511,-0.009765625,-0.032471873,180.046569824,0.000000000,0.061055191,180.043853760,0.000000000,0.013665120,179.953689575,0.000000000,0.381800562,180.303833008,-0.014204545,0.154649660,180.002548218,-0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689086471.966421,,,,,,,,,,,,1689086471.966318607,0.423709482,-0.014978850,0.004152464,0.421087831,0.030692188,-0.035099182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689086471.967074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000027426,0.301116944,0.000000000,-0.001579433,0.000015587,0.000000000,0.000000000,-90.188461269,0.000000000,0.000000000,-0.000998411,0.000000000,0.008971816,0.009802997,0.000000000,-0.009213625,1.260296222,0.000000000,1689086471.966994762,,,,,,,,,,,,,,,,,,,
1689086471.967082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1689086471.966345787,-0.058668669,180.232223511,-0.000000000,-0.041443691,180.046569824,0.000000000,0.070268817,180.043853760,-0.000000000,0.013637695,179.953689575,0.000000000,0.383379996,180.303833008,0.000000000,0.154649660,180.002548218,-0.000000000
1689086471.975729,1689086471.975600481,0.000025398,0.301098579,0.705940604,0.001855077,-0.001860874,-90.188440019,-0.708266199,-0.000998127,0.009802926,1.260296106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689086471.975739,,,,,,,,,,,,,,,,,,,1689086471.975650549,-0.079730645,180.232223511,-0.009765625,-0.057131484,180.046569824,0.000000000,0.068318106,180.043853760,0.000000000,0.011022303,179.953689575,0.000000000,0.374199450,180.303833008,-0.014204545,0.149822801,180.002548218,-0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689086471.975755,,,,,,,,,,,,1689086471.975685358,0.380727112,-0.016435690,0.004118308,0.403123707,0.033829298,-0.025766762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689086471.976292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000027426,0.301116944,0.000000000,-0.001579433,0.000015587,0.000000000,0.000000000,-90.188461269,0.000000000,0.000000000,-0.000998411,0.000000000,0.008971816,0.009802997,0.000000000,-0.009213625,1.260296222,0.000000000,1689086471.976217747,,,,,,,,,,,,,,,,,,,
1689086471.976305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1689086471.975707531,-0.079730645,180.232223511,0.000000000,-0.066103302,180.046569824,0.000000000,0.077531733,180.043853760,0.000000000,0.010994878,179.953689575,0.000000000,0.375778884,180.303833008,0.000000000,0.149822801,180.002548218,-0.000000000
1689086471.985909,1689086471.985759020,0.000025398,0.301098579,0.705940604,0.001855077,-0.001860874,-90.188440019,-0.708266199,-0.000998127,0.009802926,1.260296106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689086471.985919,,,,,,,,,,,,,,,,,,,1689086471.985816240,-0.051888637,180.232223511,-0.009765625,-0.047903404,180.046569824,0.000000000,0.073203146,180.043853760,0.000000000,0.016208975,179.953689575,0.000000000,0.381967843,180.303833008,-0.014204545,0.159638479,180.002548218,-0.000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
